CellV [A^3],Df,NASA [m^2/cm^3],total_POV_gravimetric,mc_CRY-chi-0-all,mc_CRY-chi-1-all,mc_CRY-chi-3-all,mc_CRY-Z-0-all,mc_CRY-S-0-all,D_mc_CRY-S-2-all,sum-mc_CRY-Z-1-all,sum-D_mc_CRY-T-3-all,lc-chi-3-all,lc-Z-2-all,lc-alpha-0-all,D_lc-chi-1-all,D_lc-chi-3-all,D_lc-T-1-all,D_lc-T-3-all,D_lc-S-1-all,D_lc-alpha-2-all,func-chi-0-all,func-Z-1-all,func-T-3-all,D_func-chi-3-all,D_func-T-1-all,D_func-T-3-all,f-lig-T-1,sum-D_lc-Z-2-all,sum-D_lc-Z-3-all,sum-D_lc-T-3-all,sum-func-Z-0-all,sum-D_func-chi-2-all,sum-D_func-T-2-all,sum-f-lig-Z-3,MNC,MPC,pure_CO2_kH,pure_CO2_widomHOA,pure_methane_kH,pure_methane_widomHOA,pure_uptake_CO2_298.00_15000,pure_uptake_methane_298.00_580000,temperature,solvent1,solvent2,solvent3,additive,param3,param4,param5,additive_category,time
6021.6,3.91744,22.4523,0.3719232,3.61,22.952,61.95266667,841.0,1.9044,2.44,9744.0,240.0,14.61066667,78.0,36.98,0.92,1.963333333,-2.333333333,0.333333333,-0.04,-1.866666667,0.0,0.0,0.0,0.0,0.0,0.0,388.6666667,148.0,136.0,4.0,0.0,0.0,0.0,27968.0,-1.35,0.901,0.000576694,-38.71036813,1.41e-05,-17.10298507,2.550991714,4.255010546,25.0,887.0,0.0,0.0,0.0,0.889716841,0.049058569,-0.413391639,1.0,240.0
3149.85,6.3767,0.0,0.456196,1.4884,25.1808,43.8468,4356.0,2.7889,5.4,12672.0,168.0,17.544,112.0,28.09,0.89,1.78,-2.0,-4.0,-0.04,-6.0,9.2416,84.0,24.0,2.31,-2.0,-2.0,306.0,12.0,24.0,-24.0,294.0,13.86,-12.0,14316.0,-0.575,1.95,0.000227542,-31.43633256,1.45e-05,-17.2123257,2.058379498,4.058369635,120.0,962.0,6228.0,679.0,0.0,0.389716841,0.061818741,-0.217196949,1.0,96.0
580.418,3.81301,0.0,0.111743,3.3489,29.3776,52.2404,676.0,1.5625,1.92,2912.0,64.0,17.544,112.0,28.09,0.89,1.78,-2.0,-4.0,-0.04,-6.0,0.0,0.0,0.0,0.0,0.0,0.0,216.0,4.0,8.0,-8.0,0.0,0.0,0.0,3888.0,-0.459,1.179,0.0189981,-48.53029726,3.09e-05,-21.53569108,2.404299262,2.135431282,180.0,962.0,0.0,0.0,14797.0,-0.110283159,0.083073132,-0.129610464,0.0,48.0
11845.6,2.51763,1280.13,0.461688,2.7225,27.72,55.209,900.0,1.7161,3.24,7020.0,192.0,19.93333333,102.6666667,45.87,0.95,2.04,-2.0,-0.666666667,-0.04,-3.333333333,6.161066667,28.0,5.333333333,1.773333333,-1.333333333,-2.666666667,666.6666667,90.0,90.0,-6.0,294.0,5.88,-24.0,21306.0,-0.471,1.221,0.00020464,-26.75168615,5.41e-05,-21.14869736,1.856609624,6.36731555,100.0,962.0,31374.0,0.0,944.0,-0.110283159,0.083073132,-0.129610464,2.0,120.0
5272.53,3.62321,1130.2,0.293303,2.8561,29.31136,74.42084,2304.0,2.1904,8.088,19200.0,468.0,13.37748148,105.7777778,51.79666667,0.425555556,1.167407407,-0.888888889,-0.518518519,-0.017777778,-3.859259259,8.214755556,80.11111111,16.66666667,1.221111111,-1.0,-3.666666667,393.7777778,90.66666667,89.33333333,-9.333333333,784.0,12.18,-22.0,23512.0,-0.484,1.198,0.000471174,-33.36775641,3.59e-05,-19.1080892,2.552069788,4.089496139,100.0,6228.0,0.0,0.0,0.0,-0.110283159,-0.089079437,0.295377468,1.0,120.0
3964.62,5.82364,0.0,0.235705,3.5344,33.48906667,74.39786667,729.0,1.5876,2.613333333,6696.0,252.0,19.336,105.0,41.425,0.935,1.975,-2.0,-1.5,-0.04,-4.0,7.9202,27.0,5.0,2.145,-1.5,-3.5,442.0,64.0,68.0,-12.0,324.0,5.72,-12.0,26080.0,-0.997,1.198,0.000325569,-33.10314447,1.31e-05,-15.88475096,1.729230242,2.152940149,110.0,962.0,6228.0,702.0,0.0,0.389716841,0.06606585,-0.271501052,1.0,96.0
11129.5,2.87904,209.662,0.0656497,2.8561,27.716,48.1988,2304.0,2.1904,4.26,29184.0,512.0,15.992,108.5,41.425,0.935,1.555,-2.0,-2.0,-0.04,-2.05,10.9696,82.0,17.33333333,3.476666667,-1.333333333,0.0,354.0,240.0,176.0,-64.0,1888.0,66.82666667,0.0,68352.0,-0.402,1.22,0.000163778,-29.8936436,2.58e-05,-22.56598509,0.910759625,1.113694408,90.0,962.0,6228.0,0.0,0.0,0.389716841,0.06606585,-0.271501052,1.0,72.0
6459.07,9.99848,390.219,0.873937,3.61,23.104,49.704,841.0,1.9044,5.04,9744.0,144.0,7.752,91.0,54.76,0.0,0.49,0.0,-1.0,0.0,-3.9,9.2416,91.0,12.0,0.98,-1.0,-2.0,324.0,8.0,8.0,-8.0,392.0,3.92,-8.0,18432.0,-0.189,0.798,6.18e-05,-25.50581202,8.01e-06,-12.55801033,0.762421848,2.933889154,85.0,6228.0,0.0,0.0,944.0,-0.110283159,-0.089079437,0.295377468,2.0,48.0
1346.01,2.55442,18.07,0.0230343,3.61,26.144,64.4005,841.0,1.9044,2.915,7424.0,160.0,17.544,124.8,28.09,0.884,1.78,-2.2,-4.0,-0.09,-6.0,10.10786667,245.3333333,14.66666667,1.46,1.333333333,0.0,234.0,8.0,16.0,-16.0,512.0,2.453333333,-2.666666667,9664.0,-0.774,0.95,0.000109241,-36.10437633,6.56e-06,-21.93475611,1.126271355,1.711597638,160.0,962.0,0.0,0.0,0.0,-0.110283159,0.083073132,-0.129610464,1.0,96.0
13226.1,12.65122,0.0,0.792551,3.61,23.16914286,45.695,841.0,1.9044,1.83,88160.0,364.0,23.06971429,117.6,36.472,0.988285714,2.192571429,-2.142857143,-1.542857143,-0.042857143,-3.642857143,0.0,0.0,0.0,0.0,0.0,0.0,325.7142857,130.8,117.6,-21.6,0.0,0.0,0.0,30436.0,-0.567,0.91,1.75e-05,-17.24723009,5.27e-06,-11.01370429,0.26182613,2.460218449,105.0,31275.0,6228.0,0.0,944.0,-0.110283159,-0.052885455,0.087815119,2.0,12.0
